Number,Translator,Chinese Sentences,Gloss,Note
train-00001,A,2023年高考到了。,2/0/2/3/高/考/时间/到/。,
train-00002,A,一个小时的时间才使她明白我的意思。,小时/时间/我/意思/她/明白/。,
train-00003,A,一个小生命的到来会给一个家庭带来极大的快乐。,小/生命/到/家/大/快乐/给/可以/。,
train-00004,A,一个漂亮的女人。,美/女/一/。,
train-00005,A,一些困难挑战不容忽视。,困难/挑战/忽视/不行/。,
train-00006,A,一些学生因贫困而辍学。,学生/这/贫困/学校/退1/。,
train-00007,A,一些方面提供帮助。,这/方面/帮助/给/。,方面
train-00008,A,一会就可以出去了。,一会儿/去/可以/。,
train-00009,A,一但开始你就要继续。,开始/一直/要/。,
train-00010,A,一分钟后我要去上班了。,分钟/后2/去/上班2/要/。,
train-00011,A,辛苦付出都是值得的。,都/辛苦/价值/。,
train-00012,A,都会过去的。,都/经过/会/。,
train-00013,A,都向着好的方向发展的。,都/好/方向/发展/会/。,
train-00014,A,都是按照计划进行的。,都/计划/按照/发展/是/。,
train-00015,A,都顺心就好。,都/心/顺利/好/。,
train-00016,A,无奈的表情。,表情/无力/。,
train-00017,A,香烟的价格主要由三部分组成。,香烟/价格/部分/三/。,
train-00018,A,一大盆异常茂盛的法国吊兰。,大/茂盛/法国/花/名字/吊兰/。,吊兰
train-00019,A,一定可以做到。,一定1/做/到/可以/。,
train-00020,A,一定要刷三分钟。,一定1/分钟/三/刷/要/。,
train-00021,A,一定要好好保养身体。,一定1/身体/保养/好/要/。,
train-00022,A,一年内可以用。,一年/内/用/可以/。,
train-00023,A,找到行李请立即送到我停留的饭店。,行李/找/有/快/我/饭店/给/。,
train-00024,A,一本书不管从哪页看起都会被吸引。,书/哪里/开始/都/吸引/会/。,
train-00025,A,地震让整个城市都变成了废墟。,地震/让/城市/都/塌陷/。,
train-00026,A,声音都没有了。,声音/都/没有/。,
train-00027,A,属于自己的时间都没有。,属于1/时间/没有/。,
train-00028,A,不上火。,上/火/不/。,
train-00029,A,一直没有说话。,一直/说话/没有/。,
train-00030,A,一般折价券的使用要依商品价格扣除折价券的面值。,一般/打折/票/用/商品/价格/打折/票/多少/扣除/。,
train-00031,A,一般飞机上小包的最大重量限度为2千克。,一般/飞机/书包/最2/大/二/公斤/。,
train-00032,A,一起去吃点东西好不好？,和/去/吃/好不好/？,
train-00033,A,很严重的事故吗？,出事/严重/？,
train-00034,A,一起照相吧。,和/照相/。,
train-00035,A,一起荡秋千好不好？,和/秋千/好不好/？,
train-00036,A,一路辛苦了吧。,一路/辛苦/是/。,一路
train-00037,A,一部不一样的手机。,这里/手机/不一样/。,
train-00038,A,一阵鄙视的笑声。,像/鄙视/笑/声音/。,
train-00039,A,七八月份的盐湖色彩更加美丽。,七月/八月/左右/盐/湖/颜色/美/。,
train-00040,A,下雨了我们该怎么办？,雨/我们/怎么/？,
train-00041,A,三个袋子和一个手提箱。,袋子/三/手提箱/提/二/。,袋子、手提箱
train-00042,A,三分钟到了吗？,分钟/三/到/？,
train-00043,A,三夏是丰收的时间。,三/夏天/丰收/时间/。,
train-00044,A,三大股指今天都上涨了。,三/大/股票/今天/都/涨/有/。,
train-00045,A,三层是图书馆。,三层/图书馆/。,
train-00046,A,上午的温度还在35摄氏度左右。,上午/温度/三十/五/左右/。,
train-00047,A,上周我在这里订购了一套沙发。,上/一周/我/这里/订/沙发/一/。,
